?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/AISM_0000003>	"The region of the insect cuticle that is less flexible than the neighboring conjunctiva(e) (conjunctiva(e) that the sclerite is continuous with."@en	"http://purl.obolibrary.org/obo/UBERON_6004475 http://purl.obolibrary.org/obo/HAO_0000909 http://flybase.org/cgi-bin/fbcvq.html?query=FBbt:00004475"
<http://purl.obolibrary.org/obo/AISM_0002067>	"The insect thoracic muscle that runs parallel to the dorsal-ventral axis."@en	
<http://purl.obolibrary.org/obo/AISM_0004153>	"The epipleurite that is adjacent to the notum, is attached to the coxa via muscle, is surrounded by the noto-pleural conjunctiva, and is posterior to the first axillary sclerite."@en	
<http://purl.obolibrary.org/obo/COLAO_0000048>	"The region of the cuticle corresponding to the postero-lateral region of the postclypeus"@en	
<http://purl.obolibrary.org/obo/AISM_0002040>	"The cuticle of the maxillary palpomere that is attached to the distal margin of the maxillary palpomere III and to the proximal margin of the maxillary palpomere V."@en	
<http://purl.obolibrary.org/obo/AISM_0004045>	"The dorsolateral region of the head capsule that is posterior to the postoccipital ridge"@en	
<http://purl.obolibrary.org/obo/COLAO_0000242>	"The accessory endophallite that is distal to the axial, subaxial, and frontolateral peripheral endophallites."@en	
<http://purl.obolibrary.org/obo/AISM_0004096>	"The conjunctiva of the insect abdomen that connects the abdominal tergite VI and the abdominal tergite VII."@en	
<http://purl.obolibrary.org/obo/BSPO_0000678>	"Anatomical margin that is located on the distal side of the body or body part."	
<http://purl.obolibrary.org/obo/AISM_0004068>	"The paired sclerite of the postabdomen that is attached to the abdominal sternite VII by the abdominal sternite VII-gonocoxa conjunctiva and is articulated with abdominal tergite IX. It is attached at the base of gonostylus VIII and adjacent to the gonopore."@en	
<http://purl.obolibrary.org/obo/COLAO_0000267>	"The distal region of the antenna that is composed by flagellomeres with increased size."@en	
<http://purl.obolibrary.org/obo/AISM_0004124>	"The conjunctiva of the insect abdomen that connects the abdominal sternite IX and the abdominal sternite X."@en	
<http://purl.obolibrary.org/obo/COLAO_0000123>	"The posterior branch of the beetle wing vein that is posterior to the medial bar of the beetle wing."@en	
<http://purl.obolibrary.org/obo/AISM_0004053>	"The sense organ of the insect head that is covered by eye cuticle."@en	
<http://purl.obolibrary.org/obo/AISM_0004275>	"The sclerite that is continuous with the hypopharynx."@en	
<http://purl.obolibrary.org/obo/AISM_0000163>	"The longitudinal (parallel to antero-posterior axis) sulcus that corresponds to the discrimenal lamella."@en	
<http://purl.obolibrary.org/obo/AISM_0004082>	"The conjunctiva between the insect thorax and the insect abdomen that connects the posterior margin of the metanotum to the anterior margin of the abdominal tergite I."@en	
<http://purl.obolibrary.org/obo/COLAO_0000241>	"The accessory endophallite that is elongated and lateral to the axial and frontolateral peripheral endophallites."@en	
<http://purl.obolibrary.org/obo/BSPO_0000061>		"FBql:00005852 FBcv:0000066"
<http://purl.obolibrary.org/obo/AISM_0004282>	"The thoracic foramen that is at the anterior margin of the cuticle of the metathorax."@en	
<http://purl.obolibrary.org/obo/AISM_0004274>	"The ectodermal gland continuous with the proximal region of the cuticle of the cardo."@en	
<http://purl.obolibrary.org/obo/UBERON_0000161>	"Anatomical conduit that connects two adjacent body spaces (or a body space with the space surrounding the organism)[FMA,modified]."	"SCTID:91837002 FMA:3724 http://www.snomedbrowser.com/Codes/Details/91837002"
<http://purl.obolibrary.org/obo/AISM_0004003>	"The sclerite of the cuticle of labium that is cmposed of the submentum and the mentum, which are connected by the submental-mental conjunctiva"@en	
<http://purl.obolibrary.org/obo/AISM_0004051>	"The region of the cuticle that is composed of the clypeus and the labrum."@en	
<http://purl.obolibrary.org/obo/AISM_0004178>	"The conjunctiva that encircles the tibia by joining the distal margin of the femur and the proximal margin of the tibia."@en	
<http://purl.obolibrary.org/obo/AISM_0000152>	"The somatic muscle that inserts in the metafemur."@en	
<http://purl.obolibrary.org/obo/UBERON_6007289>	"Region of integument of a tagma.\nhttp://flybase.org/cgi-bin/fbcvq.html?query=FBbt:00007289"@en	"FBbt:00007289"
<http://purl.obolibrary.org/obo/AISM_0004241>	"The region of cuticle that is behind the compound eye."@en	
<http://purl.obolibrary.org/obo/COLAO_0000226>	"The elytron that has parts elytral striae 1-9."@en	
<http://purl.obolibrary.org/obo/COLAO_0000015>	"The region of cuticle on the antero-lateral region of the elytron."@en	
<http://purl.obolibrary.org/obo/COLAO_0000077>	"The bilaterally paired sclerites on the antero-dorsal region of the hypopharyngeal suspensorium."@en	
<http://purl.obolibrary.org/obo/AISM_0004235>	"The region of cuticle that is continuous with glandular epithelial cells."@en	
<http://purl.obolibrary.org/obo/AISM_0000103>	"The conjunctiva that encircles the mesocoxa and connects it to the ventral and lateral regions of the mesothorax."@en	
<http://purl.obolibrary.org/obo/BSPO_0000672>	"Anatomical margin that is located on the posterior side of the body or body part."	
<http://purl.obolibrary.org/obo/AISM_0004150>	"The region of cuticle of the dorso-lateral region of the pterothorax that is surrounded by the noto-pleural conjunctiva and articulated with the epimeron."@en	
<http://purl.obolibrary.org/obo/AISM_0004090>	"Is the abdominal tergite of the preabdomen that is attached to the posterior margin of the abdominal tergite III by the abdominal tergite III-abdominal tergite IV conjunctiva and to the anterior margin of the abdominal tergite V by the abdominal tergite IV-abdominal tergite V conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0002009>	"The cranio-labral muscle that is attached to the frons and the labrum."@en	
<http://purl.obolibrary.org/obo/COLAO_0000099>	"The cuticular protrusion on the ventro-lateral region of the metendosternite that is distal to the metendosternal lamina and proximal to the metendosternal arm."@en	
<http://purl.obolibrary.org/obo/COLAO_0000100>	"The cuticular tendon on the antero-dorsal regionof the metendosternal lamina."@en	
<http://purl.obolibrary.org/obo/AISM_0000063>	"The ring sclerite that is part of an appendage and is attached to muscle."@en	
<http://purl.obolibrary.org/obo/AISM_0002079>	"The dorsoventral thoracic muscle that extends between the antero-lateral region of the pronotum and the medial region of the propleuron."@en	
<http://purl.obolibrary.org/obo/COLAO_0000153>	"The insect sclerite that is part of the insect spiracle."@en	
<http://purl.obolibrary.org/obo/AISM_0000121>	"The sclerite on the ventral region of the mesothorax that bears the mesofurca and is attached to the mesopleuro-mesosternal conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0000200>	"The paired sclerite of the postabdomen that is attached to the abdominal tergite IX by the abdominal tergite IX-gonocoxa IX conjunctiva and is articulated with abdominal tergite IX."@en	
<http://purl.obolibrary.org/obo/AISM_0004023>	"The foramen of the head capsule that connects with the neck membrane and is divided by the tentorial bridge into alaforamen and neuroforamen."@en	
<http://purl.obolibrary.org/obo/AISM_0004039>	"The apophysis of the tentorium that is connected to an anterior tentorial arm."@en	
<http://purl.obolibrary.org/obo/AISM_0004229>	"The conjunctiva of the insect thorax that joins the mesonotum and the metanotum."@en	
<http://purl.obolibrary.org/obo/PATO_0040024>	"The bearer of this quality has_part n=2 of the indicated entity type, where n is unpaired for a comparable organism."	
<http://purl.obolibrary.org/obo/AISM_0004266>	"The cuticle of a mere that is part of the cuticle of the antenna."@en	
<http://purl.obolibrary.org/obo/AISM_0000534>	"The cuticular depression constituted by conjunctiva that is elongated."@en	
<http://purl.obolibrary.org/obo/PATO_0002078>	"A quality inhering in a bearer by virtue of the bearer's having an empty space or cavity within."	
<http://purl.obolibrary.org/obo/AISM_0000109>	"The region of the cuticle that is posterior to the thorax."	
<http://purl.obolibrary.org/obo/AISM_0002044>	"The insect cranio-maxillar muscle that is attached to the third maxillar palpomere and  the fourth maxillar palpomere."@en	
<http://purl.obolibrary.org/obo/AISM_0002061>	"The somatic muscle that is attached to the head capsule and the tentorium."@en	
<http://purl.obolibrary.org/obo/AISM_0002026>	"The somatic muscle that is attached to the head capsule and the insect maxilla."@en	
<http://purl.obolibrary.org/obo/AISM_0004287>	"The insect body segment that is part of the insect abdomen."@en	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000021"
<http://purl.obolibrary.org/obo/COLAO_0000116>	"The posterior branch of the beetle wing vein that is part of the radial anterior (RA) vein of the beetle wing."@en	
<http://purl.obolibrary.org/obo/AISM_0004168>	"The cuticle of the segment of a leg attached to the distal margin of the coxa by the coxal-trochanteral conjunctiva and to the proximal margin of the femur by the trochantero-femoral conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004314>	"The insect spiracle that is part of the insect thorax."@en	
<http://purl.obolibrary.org/obo/AISM_0000117>	"The cuticle of the first flagellomere of the antenna, attached to the pedicel by the pedicel-first flagellomere conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0002043>	"The insect cranio-maxillar muscle that is attached to the second maxillar palpomere and  the third maxillar palpomere."@en	
<http://purl.obolibrary.org/obo/AISM_0004256>	"The insect wing vein that is posterior to the subcosta and anterior to the media."@en	
<http://purl.obolibrary.org/obo/AISM_0004255>	"The insect wing vein that is posterior to the cubitus and anterior to the anal fold or the anal vein."@en	
<http://purl.obolibrary.org/obo/AISM_0004006>	"The sclerite of the cuticle of labium that is attached to the prementum by the premental-palpigeral conjunctiva and to the cuticle of labial palpus by the palpigero-palpal conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004204>	"The insect thoracic muscle that attaches to the notum and to the trochantin."@en	
<http://purl.obolibrary.org/obo/AISM_0004270>	"The region of the cuticle that is proximal and medial on the cuticle of the insect mandible."@en	
<http://purl.obolibrary.org/obo/BSPO_0000671>	"Anatomical margin that is located on the anterior side of a body or body part."	
<http://purl.obolibrary.org/obo/AISM_0004067>	"The region of the cuticle in the postabdomen that is attached to the genital chamber."@en	
<http://purl.obolibrary.org/obo/AISM_0004260>	"The sclerite that is part of the pretarsus."@en	
<http://purl.obolibrary.org/obo/AISM_0000196>	"The cuticular pit that correspods to the tentorium."@en	
<http://purl.obolibrary.org/obo/AISM_0002050>	"The cranio-labial muscle that is attached to the postoccipital phragma and  the prementum."@en	
<http://purl.obolibrary.org/obo/AISM_0002034>	"The insect cranio-maxillar muscle that is attached to the stipes and the galea."@en	
<http://purl.obolibrary.org/obo/AISM_0000177>	"The orifice that is contained by the cuticle and connects the inside of the insect with the outside, is tubular, and whose diameter is smaller than 100 nm."@en	
<http://purl.obolibrary.org/obo/AISM_0004049>	"The region of cuticle comprising the posterior region of the clypeus."@en	
<http://purl.obolibrary.org/obo/AISM_0000022>	"The axillary sclerite that is part of the dorsal region of the basal wing conjunctiva and is anterior to the third axillary sclerite."@en	
<http://purl.obolibrary.org/obo/UBERON_0000020>	"An organ that is capable of transducing sensory stimulus to the nervous system."	"UMLS:C0935626 AEO:0000094 http://www.snomedbrowser.com/Codes/Details/244485009 BSA:0000121 EHDAA:500 VHOG:0001407 BTO:0000202 NCIT:C33224 EMAPA:35955 CALOHA:TS-2043 MESH:D012679 GAID:63 http://linkedlifedata.com/resource/umls/id/C0935626 EHDAA2:0001824 WBbt:0006929 FBbt:00005155 HAO:0000930 SCTID:244485009 MA:0000017"
<http://purl.obolibrary.org/obo/AISM_0004041>	"The arthropod foramen that is part of the foramen occipitale and located below the tentorial bridge."@en	
<http://purl.obolibrary.org/obo/COLAO_0000101>	"The region of the beetle wing that is distal to the central region of the beetle wing."@en	
<http://purl.obolibrary.org/obo/BSPO_0000677>	"Anatomical margin that is located on the proximal region of the body or body part."	
<http://purl.obolibrary.org/obo/AISM_0004234>	"The pouch that is circular."@en	
<http://purl.obolibrary.org/obo/AISM_0000167>	"The region of cuticle where two sclerites meet."@en	
<http://purl.obolibrary.org/obo/AISM_0000038>	"The cuticle of the paired insect wing that is continuous with the metanotum."@en	
<http://purl.obolibrary.org/obo/AISM_0000002>	"The region of cuticle that is composed two articular surfaces that are adjacent to each other."@en	
<http://purl.obolibrary.org/obo/AISM_0004286>	"The insect body segment that is part of the insect thorax."@en	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000016"
<http://purl.obolibrary.org/obo/AISM_0002058>	"The somatic muscle that is attached to the head capsule and the hypopharynx."@en	
<http://purl.obolibrary.org/obo/AISM_0004196>	"The cuticle of the appendage of the hind leg that is attached to the metatarsus by the metatarso-metapretarsal conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004064>	"The cuticle of the paired cuticular evagination of the postabdomen that is attached to the cuticle of phallobase by the phallobasal-parameral conjunctiva and to the cuticle of aedeagus by the paramero-aedeagal conjunctiva."@en	
<http://purl.obolibrary.org/obo/COLAO_0000152>	"The perforated region of the cuticle that is part of the cribriform spiracle."@en	
<http://purl.obolibrary.org/obo/AISM_0000201>	"The conjunctiva of the postabdomen that connects the abdominal tergite IX and the gonocoxa IX."@en	
<http://purl.obolibrary.org/obo/COLAO_0000202>	"The elytral stria that is lateral to the elytral interstria 1."@en	
<http://purl.obolibrary.org/obo/AISM_0000097>	"The conjunctiva of the metathorax that joins the metapleuron and the metacoxa."	
<http://purl.obolibrary.org/obo/AISM_0004080>	"The sulcus that coincides with the precoxal ridge."@en	
<http://purl.obolibrary.org/obo/AISM_0004055>	"The region of cuticle of the insect abdomen that is posteriorly connected to the postabdomen."@en	
<http://purl.obolibrary.org/obo/AISM_0002013>	"The cranio-labral muscle that extends betwen the sides of  the labrum."@en	
<http://purl.obolibrary.org/obo/COLAO_0000009>	"The concave part of the prosternum that receives the procoxa."@en	
<http://purl.obolibrary.org/obo/CL_0000150>	"A specialized epithelial cell that is capable of synthesizing and secreting certain biomolecules."	"FMA:86494 CALOHA:TS-2085"
<http://purl.obolibrary.org/obo/PATO_0001171>	"An elasticity quality inhering in a bearer by virtue of the bearer's ability to recover its size and shape after deformation in any way."	
<http://purl.obolibrary.org/obo/AISM_0004191>	"The conjunctiva that encircles the propretarsus by joining the distal margin of the distalmost protarsomere and the proximal margin of the propretarsus."@en	
<http://purl.obolibrary.org/obo/AISM_0004195>	"The cuticle of the appendage of the mid leg that is attached to the mesotarsus by the mesotarso-mesopretarsal conjunctiva."@en	
<http://purl.obolibrary.org/obo/UBERON_0001134>	"Muscle tissue that consists primarily of skeletal muscle fibers."	"NCIT:C13050 Wikipedia:Skeletal_striated_muscle MA:0002439 EMAPA:32716 SCTID:426215008 http://linkedlifedata.com/resource/umls/id/C0242692 FMA:14069 http://en.wikipedia.org/wiki/Skeletal_striated_muscle UMLS:C0242692 http://www.snomedbrowser.com/Codes/Details/426215008"
<http://purl.obolibrary.org/obo/COLAO_0000138>	"The posterior branch of the anal wing vein that is posterior to the anal anterior branch 3+4 (AA3+4) of the beetle wing."@en	
<http://purl.obolibrary.org/obo/AISM_0004308>	"The cuticular protrusion that is part of the pretarsus, ventral to the tarsal claws."@en	
<http://purl.obolibrary.org/obo/COLAO_0000038>	"The spine on the distal margin of the tibia."@en	
<http://purl.obolibrary.org/obo/AISM_0004142>	"The region of the cuticle on the lateral region of the prothorax that is attached to the pronotum and the prosternum, and is attached to the procoxa by the procoxal muscle and the basal procoxal conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0000128>	"The region of cuticle that corresponds to the evagination of the single layer epithelium."@en	
<http://purl.obolibrary.org/obo/AISM_0004078>	"The region of the cuticle that is part of the oviduct and connected to the bursa copulatrix."@en	
<http://purl.obolibrary.org/obo/COLAO_0000112>	"The anterior branch of the beetle wing vein that is part of the radial anterior (RA) vein of the beetle wing."@en	
<http://purl.obolibrary.org/obo/AISM_0004001>	"The sclerite of the insect maxilla that is attached to the cuticle of stipes by the stipito-palpiferal conjunctiva and to the cuticle of maxillary palpus by the palpifero-palpal conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0000021>	"Is the abdominal tergite of the preabdomen that is attached to the posterior margin of the tergum by the metanoto-abdominal tergite I conjunctiva and to the anterior margin of the abdominal tergite II by the abdominal tergite I-abdominal tergite II conjunctiva."@en	
<http://purl.obolibrary.org/obo/COLAO_0000094>	"The region of cuticle that constitutes the ventro-medial region of the metendosternite."@en	
<http://purl.obolibrary.org/obo/AISM_0002042>	"The insect cranio-maxillar muscle that is attached to the first maxillar palpomere and  the second maxillar palpomere."@en	
<http://purl.obolibrary.org/obo/BSPO_0000047>	"Anatomical margin that is located on the postero-lateral region of the body or body part."	
<http://purl.obolibrary.org/obo/AISM_0000134>	"The branching cuticular invagination that corresponds to the invagination of the membrane of a single cell and does not contain taenidia."@en	
<http://purl.obolibrary.org/obo/COLAO_0000087>	"The insect sclerite that includes the gula and the submentum."@en	
<http://purl.obolibrary.org/obo/AISM_0002008>	"The cranio-antennal muscle that is attached to the scapus and the pedicellus."@en	
<http://purl.obolibrary.org/obo/COLAO_0000020>	"The sclerite on the ventral region of the metathorax, limited by the pleurosternal sulci and medial to the metanepisternum and metepimeron."@en	
<http://purl.obolibrary.org/obo/AISM_0000090>	"The apodeme of elastic cuticle that is continuous with somatic muscle."@en	
<http://purl.obolibrary.org/obo/AISM_0004101>	"The conjunctiva of the metathorax that joins the metapleura and the metasternum."@en	
<http://purl.obolibrary.org/obo/AISM_0000144>	"The apophysis that is located ventromedially on the thorax and is connected to the coxa via muscles."	
<http://purl.obolibrary.org/obo/UBERON_0001001>	"A cuticular covering that is composed primarily of chitin. The main structural component of arthropod cuticle is a polysaccharide, chitin, composed of N-acetylglucosamine units, together with proteins and lipids[WP]."	"MIAA:0000150 http://en.wikipedia.org/wiki/Arthropod_exoskeleton EFO:0000944 FBbt:00004970 MAT:0000150 HAO:0000240"
<http://purl.obolibrary.org/obo/AISM_0004213>	"The insect thoracic muscle that attaches to the pleuron and to a coxa."@en	
<http://purl.obolibrary.org/obo/COLAO_0000252>	"The accessory endophallite formed by the fusion of ancestral axial and subaxial endophallites."@en	
<http://purl.obolibrary.org/obo/COLAO_0000073>	"The setose cuticle on the medial region of the hypopharynx."@en	
<http://purl.obolibrary.org/obo/AISM_0004232>	"The sclerite on the ventral region of the metathorax that bears the metafurca and is attached to the metapleuro-metasternal conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004247>	"The insect wing vein of the costal field that is anterior to the subcosta."@en	
<http://purl.obolibrary.org/obo/AISM_0004224>	"The axillary sclerite that is on the ventral region of the basal wing conjunctiva."@en	
<http://purl.obolibrary.org/obo/COLAO_0000126>	"The first anterior branch of the cubital vein, which is posterior to the medial posterior branch 3+4 (MP3+4) of the beetle wing."@en	
